Trip	Site	Type	n_profiles	shannon	sequencing_depth	log_sequencing_depth	dna_kit	kit_recorded
1	1	Deep	2	6.655827417	207774	12.24420623	PowerSoil	true
1	1	Rhizosphere	2	6.763495886	421548	12.95168893	PowerSoil	true
1	1	Surface	3	6.167398689	995003	13.81050103	mixed_within_group	false
1	2	Deep	3	6.985541559	1473044	14.20284157	PowerSoil	true
1	2	Rhizosphere	2	5.139292247	233931	12.36278148	mixed_within_group	false
1	2	Surface	2	6.115056939	685205	13.43747334	PowerSoil	true
1	3	Deep	2	6.595168635	617780	13.33388769	PowerSoil	true
1	3	Rhizosphere	3	4.982363849	540125	13.19955587	mixed_within_group	false
1	3	Surface	2	5.829635882	94096	11.45207082	mixed_within_group	false
1	4	Deep	3	6.207069793	1121924	13.93055563	mixed_within_group	false
1	4	Rhizosphere	3	6.411839153	2868220	14.86920219	mixed_within_group	false
1	4	Surface	1	6.332888783	641748	13.37195098	Pro	true
1	5	Deep	2	5.783338609	167754	12.0302539	mixed_within_group	false
1	5	Surface	3	5.790822003	1012808	13.82823723	mixed_within_group	false
1	6	Deep	2	6.384605331	978991	13.79427773	mixed_within_group	false
1	6	Rhizosphere	2	5.479554431	868883	13.67496376	PowerSoil	true
1	6	Surface	2	5.891827752	572689	13.25809809	mixed_within_group	false
1	7	Deep	2	6.392795668	539326	13.19807549	mixed_within_group	false
1	7	Rhizosphere	1	5.307778352	14554	9.585621149	PowerSoil	true
1	7	Surface	2	4.255206468	201903	12.21554266	Pro	true
1	8	Rhizosphere	3	5.838476734	763061	13.54509325	mixed_within_group	false
1	8	Surface	2	6.104140472	197699	12.19450095	mixed_within_group	false
1	9	Deep	2	6.538513012	572622	13.25798109	Pro	true
1	9	Rhizosphere	2	5.797722828	481950	13.08559565	Pro	true
1	9	Surface	3	6.187363002	778496	13.56511913	mixed_within_group	false
1	10	Deep	1	6.659232385	503679	13.12969444	Pro	true
1	10	Rhizosphere	2	6.08873832	742124	13.51727162	Pro	true
1	10	Surface	2	6.457927307	2683084	14.80247744	Pro	true
1	11	Deep	2	5.889100369	639497	13.36843721	Pro	true
1	11	Rhizosphere	3	5.557777132	1544550	14.25024316	mixed_within_group	false
1	11	Surface	1	5.678883274	125604	11.74088938	Pro	true
1	12	Deep	2	6.082672526	735313	13.50805154	Pro	true
1	12	Rhizosphere	2	6.13278561	354670	12.77894306	Pro	true
1	12	Surface	3	5.376889021	482363	13.08645222	Pro	true
1	13	Deep	2	6.370484712	2325640	14.65950583	Pro	true
1	13	Surface	1	5.654056549	357173	12.78597554	Pro	true
1	14	Deep	3	5.704791388	1939892	14.47814286	mixed_within_group	false
1	14	Rhizosphere	2	4.72981339	988383	13.80382555	Pro	true
1	14	Surface	1	5.893253636	1079644	13.89214192	Pro	true
1	15	Deep	2	7.111274816	2124910	14.56924001	Pro	true
1	15	Rhizosphere	3	5.913226368	2035943	14.52646966	mixed_within_group	false
1	15	Surface	2	6.132545491	971961	13.78707096	Pro	true
1	16	Deep	2	6.293553106	537091	13.19392282	Pro	true
1	16	Rhizosphere	3	5.227667756	1708227	14.35096655	mixed_within_group	false
1	16	Surface	1	4.805189137	214146	12.2744133	Pro	true
